lr,loss_train,epoch,step,loss_val_nll,loss_val_mse
3.9999998989515007e-05,1107.298828125,0,0,,
3.9999998989515007e-05,477.3048400878906,0,1,,
3.9999998989515007e-05,54.29323196411133,0,2,,
3.9999998989515007e-05,460.7624206542969,0,3,,
3.9999998989515007e-05,453.7957763671875,0,4,,
3.9999998989515007e-05,40.38446807861328,0,5,,
3.9999998989515007e-05,63.64599609375,0,6,,
3.9999998989515007e-05,131.86802673339844,0,7,,
3.9999998989515007e-05,213.10267639160156,0,8,,
3.9999998989515007e-05,451.0947570800781,0,9,,
3.9999998989515007e-05,125.34972381591797,0,10,,
3.9999998989515007e-05,78.76008605957031,0,11,,
3.9999998989515007e-05,174.309326171875,0,12,,
3.9999998989515007e-05,577.1236572265625,0,13,,
3.9999998989515007e-05,131.48861694335938,0,14,,
3.9999998989515007e-05,79.108642578125,0,15,,
3.9999998989515007e-05,97.52252960205078,0,16,,
3.9999998989515007e-05,31.159154891967773,0,17,,
3.9999998989515007e-05,99.65666961669922,0,18,,
3.9999998989515007e-05,183.3181610107422,0,19,,
3.9999998989515007e-05,248.74827575683594,0,20,,
3.9999998989515007e-05,29.05694007873535,0,21,,
3.9999998989515007e-05,58.50899124145508,0,22,,
3.9999998989515007e-05,102.44099426269531,0,23,,
3.9999998989515007e-05,30.2777042388916,0,24,,
3.9999998989515007e-05,46.39212417602539,0,25,,
3.9999998989515007e-05,82.27715301513672,0,26,,
3.9999998989515007e-05,37.28078842163086,0,27,,
3.9999998989515007e-05,30.963623046875,0,28,,
3.9999998989515007e-05,60.6151237487793,0,29,,
3.9999998989515007e-05,119.23686218261719,0,30,,
3.9999998989515007e-05,32.20159149169922,0,31,,
3.9999998989515007e-05,42.16645431518555,0,32,,
3.9999998989515007e-05,32.46955108642578,0,33,,
3.9999998989515007e-05,30.716991424560547,0,34,,
3.9999998989515007e-05,64.757568359375,0,35,,
3.9999998989515007e-05,40.667381286621094,0,36,,
3.9999998989515007e-05,43.53530502319336,0,37,,
3.9999998989515007e-05,82.57648468017578,0,38,,
3.9999998989515007e-05,34.82609939575195,0,39,,
3.9999998989515007e-05,70.66864776611328,0,40,,
3.9999998989515007e-05,31.665985107421875,0,41,,
3.9999998989515007e-05,48.08120346069336,0,42,,
3.9999998989515007e-05,31.648588180541992,0,43,,
3.9999998989515007e-05,64.43910217285156,0,44,,
3.9999998989515007e-05,29.453868865966797,0,45,,
3.9999998989515007e-05,30.137786865234375,0,46,,
3.9999998989515007e-05,27.477895736694336,0,47,,
3.9999998989515007e-05,29.010578155517578,0,48,,
3.9999998989515007e-05,75.88713073730469,0,49,,
3.9999998989515007e-05,31.015811920166016,0,50,,
3.9999998989515007e-05,32.13993453979492,0,51,,
3.9999998989515007e-05,67.60688018798828,0,52,,
3.9999998989515007e-05,45.547245025634766,0,53,,
3.9999998989515007e-05,30.67338752746582,0,54,,
3.9999998989515007e-05,41.86139678955078,0,55,,
3.9999998989515007e-05,28.570209503173828,0,56,,
3.9999998989515007e-05,28.701793670654297,0,57,,
3.9999998989515007e-05,26.344919204711914,0,58,,
3.9999998989515007e-05,33.92169189453125,0,59,,
3.9999998989515007e-05,29.803422927856445,0,60,,
3.9999998989515007e-05,30.261430740356445,0,61,,
3.9999998989515007e-05,46.34663772583008,0,62,,
3.9999998989515007e-05,29.246496200561523,0,63,,
3.9999998989515007e-05,28.853139877319336,0,64,,
3.9999998989515007e-05,30.534414291381836,0,65,,
3.9999998989515007e-05,29.587690353393555,0,66,,
3.9999998989515007e-05,30.722503662109375,0,67,,
3.9999998989515007e-05,28.562206268310547,0,68,,
3.9999998989515007e-05,28.463680267333984,0,69,,
3.9999998989515007e-05,29.5228271484375,0,70,,
3.9999998989515007e-05,30.804025650024414,0,71,,
3.9999998989515007e-05,27.79497718811035,0,72,,
3.9999998989515007e-05,29.477325439453125,0,73,,
3.9999998989515007e-05,25.610450744628906,0,74,,
3.9999998989515007e-05,26.252206802368164,0,75,,
3.9999998989515007e-05,30.89588737487793,0,76,,
3.9999998989515007e-05,29.026203155517578,0,77,,
3.9999998989515007e-05,28.2818603515625,0,78,,
3.9999998989515007e-05,31.33449363708496,0,79,,
3.9999998989515007e-05,26.64354133605957,0,80,,
3.9999998989515007e-05,28.799760818481445,0,81,,
3.9999998989515007e-05,27.005516052246094,0,82,,
3.9999998989515007e-05,26.79812240600586,0,83,,
3.9999998989515007e-05,27.239870071411133,0,84,,
3.9999998989515007e-05,27.94080924987793,0,85,,
3.9999998989515007e-05,27.862565994262695,0,86,,
