lr,loss_train,step,epoch,loss_val_nll,loss_val_mse
3.9999998989515007e-05,72561.7265625,0,0,,
3.9999998989515007e-05,56835.28125,1,0,,
3.9999998989515007e-05,38082.5546875,2,0,,
3.9999998989515007e-05,93381.53125,3,0,,
3.9999998989515007e-05,32775.62109375,4,0,,
3.9999998989515007e-05,48722.4609375,5,0,,
3.9999998989515007e-05,86237.4140625,6,0,,
3.9999998989515007e-05,49962.640625,7,0,,
3.9999998989515007e-05,64771.36328125,8,0,,
3.9999998989515007e-05,53512.61328125,9,0,,
3.9999998989515007e-05,36866.359375,10,0,,
3.9999998989515007e-05,34883.828125,11,0,,
3.9999998989515007e-05,33528.1796875,12,0,,
3.9999998989515007e-05,20510.59765625,13,0,,
3.9999998989515007e-05,21695.212890625,14,0,,
3.9999998989515007e-05,10981.98046875,15,0,,
3.9999998989515007e-05,16099.80859375,16,0,,
3.9999998989515007e-05,36004.7265625,17,0,,
3.9999998989515007e-05,11814.1435546875,18,0,,
3.9999998989515007e-05,4372.2109375,19,0,,
3.9999998989515007e-05,1708.9476318359375,20,0,,
3.9999998989515007e-05,17960.169921875,21,0,,
3.9999998989515007e-05,11311.357421875,22,0,,
3.9999998989515007e-05,29068.947265625,23,0,,
3.9999998989515007e-05,4607.45361328125,24,0,,
3.9999998989515007e-05,9156.109375,25,0,,
3.9999998989515007e-05,6969.97119140625,26,0,,
3.9999998989515007e-05,14911.193359375,27,0,,
3.9999998989515007e-05,1398.5361328125,28,0,,
3.9999998989515007e-05,1190.1802978515625,29,0,,
3.9999998989515007e-05,751.8568115234375,30,0,,
3.9999998989515007e-05,6730.53466796875,31,0,,
3.9999998989515007e-05,11896.580078125,32,0,,
3.9999998989515007e-05,28516.923828125,33,0,,
3.9999998989515007e-05,12093.7607421875,34,0,,
3.9999998989515007e-05,816.4331665039062,35,0,,
3.9999998989515007e-05,24330.884765625,36,0,,
3.9999998989515007e-05,12405.53515625,37,0,,
3.9999998989515007e-05,1369.858642578125,38,0,,
3.9999998989515007e-05,6677.31982421875,39,0,,
3.9999998989515007e-05,18777.78125,40,0,,
3.9999998989515007e-05,5014.0185546875,41,0,,
3.9999998989515007e-05,10855.1767578125,42,0,,
3.9999998989515007e-05,9705.556640625,43,0,,
3.9999998989515007e-05,1640.4813232421875,44,0,,
3.9999998989515007e-05,8788.4130859375,45,0,,
3.9999998989515007e-05,15915.1689453125,46,0,,
3.9999998989515007e-05,3313.6845703125,47,0,,
3.9999998989515007e-05,18717.470703125,48,0,,
3.9999998989515007e-05,15623.244140625,49,0,,
3.9999998989515007e-05,315.2301330566406,50,0,,
3.9999998989515007e-05,3306.291015625,51,0,,
3.9999998989515007e-05,7021.23095703125,52,0,,
3.9999998989515007e-05,8931.51953125,53,0,,
3.9999998989515007e-05,5734.294921875,54,0,,
3.9999998989515007e-05,1443.2322998046875,55,0,,
3.9999998989515007e-05,17102.03515625,56,0,,
3.9999998989515007e-05,5199.0361328125,57,0,,
3.9999998989515007e-05,5035.361328125,58,0,,
3.9999998989515007e-05,11946.419921875,59,0,,
3.9999998989515007e-05,5879.6708984375,60,0,,
3.9999998989515007e-05,6565.49609375,61,0,,
3.9999998989515007e-05,3363.85400390625,62,0,,
3.9999998989515007e-05,1615.376708984375,63,0,,
3.9999998989515007e-05,1685.25830078125,64,0,,
3.9999998989515007e-05,1332.1685791015625,65,0,,
3.9999998989515007e-05,5639.041015625,66,0,,
3.9999998989515007e-05,7100.9501953125,67,0,,
3.9999998989515007e-05,7714.25830078125,68,0,,
3.9999998989515007e-05,5696.59912109375,69,0,,
3.9999998989515007e-05,3164.565185546875,70,0,,
3.9999998989515007e-05,5443.27978515625,71,0,,
3.9999998989515007e-05,2231.6943359375,72,0,,
3.9999998989515007e-05,6095.8876953125,73,0,,
3.9999998989515007e-05,8458.9189453125,74,0,,
3.9999998989515007e-05,6560.37158203125,75,0,,
3.9999998989515007e-05,1852.1361083984375,76,0,,
3.9999998989515007e-05,3825.73681640625,77,0,,
3.9999998989515007e-05,4988.8505859375,78,0,,
3.9999998989515007e-05,1969.177978515625,79,0,,
3.9999998989515007e-05,3877.877685546875,80,0,,
3.9999998989515007e-05,4699.36376953125,81,0,,
3.9999998989515007e-05,7822.81787109375,82,0,,
3.9999998989515007e-05,1828.013427734375,83,0,,
3.9999998989515007e-05,2035.88232421875,84,0,,
3.9999998989515007e-05,2457.91650390625,85,0,,
3.9999998989515007e-05,7963.40283203125,86,0,,
3.9999998989515007e-05,3734.778076171875,87,0,,
3.9999998989515007e-05,1574.576904296875,88,0,,
3.9999998989515007e-05,2624.14501953125,89,0,,
3.9999998989515007e-05,446.79412841796875,90,0,,
3.9999998989515007e-05,1130.288330078125,91,0,,
3.9999998989515007e-05,2643.04833984375,92,0,,
3.9999998989515007e-05,553.7233276367188,93,0,,
3.9999998989515007e-05,2869.5771484375,94,0,,
3.9999998989515007e-05,1070.1556396484375,95,0,,
3.9999998989515007e-05,1350.1173095703125,96,0,,
3.9999998989515007e-05,669.7774658203125,97,0,,
3.9999998989515007e-05,2109.42041015625,98,0,,
3.9999998989515007e-05,2767.365234375,99,0,,
3.9999998989515007e-05,1833.7010498046875,100,0,,
3.9999998989515007e-05,6192.33935546875,101,0,,
3.9999998989515007e-05,6319.6376953125,102,0,,
3.9999998989515007e-05,5595.2568359375,103,0,,
3.9999998989515007e-05,3897.9775390625,104,0,,
3.9999998989515007e-05,2532.3525390625,105,0,,
3.9999998989515007e-05,4319.70068359375,106,0,,
3.9999998989515007e-05,3597.9375,107,0,,
3.9999998989515007e-05,2377.707275390625,108,0,,
3.9999998989515007e-05,3101.689697265625,109,0,,
3.9999998989515007e-05,1201.5167236328125,110,0,,
3.9999998989515007e-05,1987.71630859375,111,0,,
3.9999998989515007e-05,4314.552734375,112,0,,
3.9999998989515007e-05,2353.6943359375,113,0,,
3.9999998989515007e-05,4154.49365234375,114,0,,
3.9999998989515007e-05,523.13427734375,115,0,,
3.9999998989515007e-05,7246.95751953125,116,0,,
3.9999998989515007e-05,2551.6513671875,117,0,,
3.9999998989515007e-05,390.5802307128906,118,0,,
3.9999998989515007e-05,326.31396484375,119,0,,
3.9999998989515007e-05,328.8114013671875,120,0,,
3.9999998989515007e-05,1010.03564453125,121,0,,
3.9999998989515007e-05,1145.6617431640625,122,0,,
